30_001,30_002,30_003,30_004,30_005,30_006,30_007,30_008,30_009,30_010
1971,,1,2,1,0,10201,10201,,
1972,,3,4,0,0,30400,30400,,
1973,,2,8,0,0,20800,20800,,
1974,,1,3,0,0,10300,10300,,
1975,,3,3,8,0,30308,30308,,
1976,,1,6,0,0,10600,10600,,
1977,,2,7,0,0,20700,20700,,
1978,,2,16,0,0,21600,21600,,
1979,,1,2,1,0,10201,10201,,
1980,,1,2,2,0,10202,10202,,
1981,,1,6,0,0,10600,10600,,
1982,,3,3,8,0,30308,30308,,
1983,,1,2,1,0,10201,10201,,
1984,,2,14,0,0,21400,21400,,
1985,,1,2,2,0,10202,10202,,
1986,,3,2,3,0,30203,30205,,
1987,,1,3,0,0,10300,10300,,
1988,,2,20,0,0,22000,22000,,
1989,,1,5,0,0,10500,10500,,
1990,,3,3,8,0,30308,30308,,
1991,,2,16,0,0,21600,21600,,
1992,,1,6,0,0,10600,10600,,
1993,,3,3,7,0,30307,30307,,
1994,,3,3,8,0,30308,30308,,
1995,,1,2,1,0,10201,10201,,
1996,,1,2,2,0,10202,10202,,
1997,,2,1,0,0,20100,20100,,
1998,,2,1,0,0,20100,20300,,
1999,,1,2,2,0,10202,10202,,
2000,,3,2,3,0,30203,30203,,
2001,,3,2,3,0,30203,30203,,
2002,,1,3,0,0,10300,10300,,
2003,,3,3,7,0,30307,30307,,
2004,,1,2,1,0,10201,10201,,
2005,,3,2,4,0,30204,30205,,
2006,,1,2,1,0,10201,10201,,
2007,,2,16,0,0,21600,21600,,
2008,,2,1,0,0,20100,20100,,
2009,,3,3,8,0,30308,30308,,
2010,,2,3,0,0,20300,20300,,
2011,,3,3,8,0,30308,30308,,
2012,,2,1,0,0,20100,20100,,
2013,,1,3,0,0,10300,10300,,
2014,,1,2,2,0,10202,10202,,
2015,,1,2,1,0,10201,10201,,
2016,,1,2,1,0,10201,10201,,
2017,,1,2,1,0,10201,10201,,
2018,,2,20,0,0,22000,22000,,
2019,,1,3,0,0,10300,10300,,
2020,,3,3,7,0,30307,30307,,
2021,,3,2,3,0,30203,30203,,
2022,,2,2,0,0,20200,20200,,
2023,,3,3,7,0,30307,30307,,
2024,,3,2,4,0,30204,30205,,
2025,,2,2,0,0,20200,20200,,
2026,,2,1,0,0,20100,20100,,
2027,,2,5,0,0,20500,20500,,
2028,,2,3,0,0,20300,20300,,
2029,,2,1,0,0,20100,20100,,
2030,,3,3,8,0,30308,30308,,
2031,,1,1,1,0,10101,10101,,
2032,,3,3,8,0,30308,30308,,
2033,,1,2,1,0,10201,10201,,
2034,,2,1,0,0,20100,20100,,
2035,,1,2,1,0,10201,10201,,
2036,,1,6,0,0,10600,10600,,
2037,,1,3,0,0,10300,10300,,
2038,,1,3,0,0,10300,10300,,
2039,,2,1,0,0,20100,20100,,
2040,,1,2,1,0,10201,10201,,
2041,,3,3,8,0,30308,21600,,
2042,,2,16,0,0,21600,21600,,
2043,,2,1,0,0,20100,20100,,
2044,,1,2,1,0,10201,10201,,
2045,,1,2,1,0,10201,10201,,
2046,,3,2,4,0,30204,30205,,
2047,,1,2,1,0,10201,10201,,
2048,,3,3,7,0,30307,30307,,
2049,,1,3,0,0,10300,10300,,
2050,,2,1,0,0,20100,20100,,
2051,,3,2,4,0,30204,30205,,
2052,,3,3,8,0,30308,30308,,
2053,,2,1,0,0,20100,20100,,
2054,,3,3,7,0,30307,30307,,
2055,,2,3,0,0,20300,20300,,
2056,,1,2,1,0,10201,10201,,
2057,,1,2,1,0,10201,10201,,
2058,,2,2,0,0,20200,20200,,
2059,,2,1,0,0,20100,20100,,
2060,,1,6,0,0,10600,10600,,
2061,,3,3,7,0,30307,30307,,
2062,,3,2,4,0,30204,30205,,
2063,,2,1,0,0,20100,20100,,
2064,,1,2,2,0,10202,10202,,
2065,,3,3,7,0,30307,30307,,
2066,,1,2,1,0,10201,30205,,
2067,,3,3,7,0,30307,30307,,
2068,,1,2,1,0,10201,10201,,
2069,,1,3,0,0,10300,10300,,
