1,
1.44656683372179e+005,-1.25553327087432e+006
1.43391294616422e+005,-1.25554638863484e+006
1.43381765147117e+005,-1.25462322908655e+006
1.44647069749932e+005,-1.25461010804439e+006
1.44656683372179e+005,-1.25553327087432e+006
2,
1.45922076646643e+005,-1.25552003778137e+006
1.44656683372179e+005,-1.25553327087432e+006
1.44647069749932e+005,-1.25461010804439e+006
1.45912378869625e+005,-1.25459687164097e+006
1.45922076646643e+005,-1.25552003778137e+006
3,
1.47187474479338e+005,-1.25550668935346e+006
1.45922076646643e+005,-1.25552003778137e+006
1.45912378869625e+005,-1.25459687164097e+006
1.47177692545703e+005,-1.25458351987375e+006
1.47187474479338e+005,-1.25550668935346e+006
4,
1.48452876909804e+005,-1.25549322558805e+006
1.47187474479338e+005,-1.25550668935346e+006
1.47177692545703e+005,-1.25458351987375e+006
1.48443010817692e+005,-1.25457005274019e+006
1.48452876909804e+005,-1.25549322558805e+006
5,
1.49718283977570e+005,-1.25547964648259e+006
1.48452876909804e+005,-1.25549322558805e+006
1.48443010817692e+005,-1.25457005274019e+006
1.49708333725102e+005,-1.25455647023775e+006
1.49718283977570e+005,-1.25547964648259e+006
6,
1.50983695722172e+005,-1.25546595203449e+006
1.49718283977570e+005,-1.25547964648259e+006
1.49708333725102e+005,-1.25455647023775e+006
1.50973661307456e+005,-1.25454277236383e+006
1.50983695722172e+005,-1.25546595203449e+006
7,
1.52249112183148e+005,-1.25545214224115e+006
1.50983695722172e+005,-1.25546595203449e+006
1.50973661307456e+005,-1.25454277236383e+006
1.52238993604273e+005,-1.25452895911584e+006
1.52249112183148e+005,-1.25545214224115e+006
8,
1.53514533400025e+005,-1.25543821709995e+006
1.52249112183148e+005,-1.25545214224115e+006
1.52238993604273e+005,-1.25452895911584e+006
1.53504330655066e+005,-1.25451503049114e+006
1.53514533400025e+005,-1.25543821709995e+006
9,
1.54779959412347e+005,-1.25542417660823e+006
1.53514533400025e+005,-1.25543821709995e+006
1.53504330655066e+005,-1.25451503049114e+006
1.54769672499363e+005,-1.25450098648709e+006
1.54779959412347e+005,-1.25542417660823e+006
10,
1.56045390259638e+005,-1.25541002076333e+006
1.54779959412347e+005,-1.25542417660823e+006
1.54769672499363e+005,-1.25450098648709e+006
1.56035019176671e+005,-1.25448682710102e+006
1.56045390259638e+005,-1.25541002076333e+006
11,
1.44647069749932e+005,-1.25461010804439e+006
1.43381765147117e+005,-1.25462322908655e+006
1.43372232650555e+005,-1.25370006857677e+006
1.44637453073707e+005,-1.25368694425409e+006
1.44647069749932e+005,-1.25461010804439e+006
12,
1.45912378869625e+005,-1.25459687164097e+006
1.44647069749932e+005,-1.25461010804439e+006
1.44637453073707e+005,-1.25368694425409e+006
1.45902678011907e+005,-1.25367370454131e+006
1.45912378869625e+005,-1.25459687164097e+006
13,
1.47177692545703e+005,-1.25458351987375e+006
1.45912378869625e+005,-1.25459687164097e+006
1.45902678011907e+005,-1.25367370454131e+006
1.47167907504647e+005,-1.25366034943591e+006
1.47177692545703e+005,-1.25458351987375e+006
14,
1.48443010817692e+005,-1.25457005274019e+006
1.47177692545703e+005,-1.25458351987375e+006
1.47167907504647e+005,-1.25366034943591e+006
1.48433141591435e+005,-1.25364687893534e+006
1.48443010817692e+005,-1.25457005274019e+006
15,
1.49708333725102e+005,-1.25455647023775e+006
1.48443010817692e+005,-1.25457005274019e+006
1.48433141591435e+005,-1.25364687893534e+006
1.49698380311768e+005,-1.25363329303707e+006
1.49708333725102e+005,-1.25455647023775e+006
16,
1.50973661307456e+005,-1.25454277236383e+006
1.49708333725102e+005,-1.25455647023775e+006
1.49698380311768e+005,-1.25363329303707e+006
1.50963623705150e+005,-1.25361959173849e+006
1.50973661307456e+005,-1.25454277236383e+006
17,
1.52238993604273e+005,-1.25452895911584e+006
1.50973661307456e+005,-1.25454277236383e+006
1.50963623705150e+005,-1.25361959173849e+006
1.52228871811085e+005,-1.25360577503700e+006
1.52238993604273e+005,-1.25452895911584e+006
18,
1.53504330655066e+005,-1.25451503049114e+006
1.52238993604273e+005,-1.25452895911584e+006
1.52228871811085e+005,-1.25360577503700e+006
1.53494124669072e+005,-1.25359184292998e+006
1.53504330655066e+005,-1.25451503049114e+006
19,
1.54769672499363e+005,-1.25450098648709e+006
1.53504330655066e+005,-1.25451503049114e+006
1.53494124669072e+005,-1.25359184292998e+006
1.54759382318619e+005,-1.25357779541479e+006
1.54769672499363e+005,-1.25450098648709e+006
20,
1.56035019176671e+005,-1.25448682710102e+006
1.54769672499363e+005,-1.25450098648709e+006
1.54759382318619e+005,-1.25357779541479e+006
1.56024644799220e+005,-1.25356363248874e+006
1.56035019176671e+005,-1.25448682710102e+006
21,
1.44637453073707e+005,-1.25368694425409e+006
1.43372232650555e+005,-1.25370006857677e+006
1.43362697126930e+005,-1.25277690710527e+006
1.44627833343698e+005,-1.25276377950317e+006
1.44637453073707e+005,-1.25368694425409e+006
22,
